condition_id,category,prob,final_outcome,n_fills,source
0x3a0e803db220c314dfe56790d78a112ae0f61ae0ef373929940b7768464482cf,onchain_unknown,0.88,0,21,goldsky
0xc53e5d334fd60c52660ae22981a5e8e2c63f0fb1c9d5a94b6b766fee1a4aef22,onchain_unknown,0.44,1,1,goldsky
0xd854ced87b0014c99af9fb4436f5fcb9d2a5dad153fc319841e9fa7c85b76af7,onchain_unknown,0.8,0,17,goldsky
0xdbb15e79a34d68eb89bedbea4554df508c7c20fef2087be56c16b492201f9615,onchain_unknown,0.35,0,108,goldsky
0x362f08cf136603c7f6f0123a4a8bc1145b72263e8b0be86c4448a9343f1f8415,onchain_unknown,0.4195,0,3,goldsky
0xe6ca9df9502600d4f652a725babeff09cd2947974d18351c18a3ba86cc985c50,onchain_unknown,0.002,0,70,goldsky
0xd184b5540b300b672b81eead73a206a0ee19ca3d1e1a897296ee51468a530b84,onchain_unknown,0.05,0,10,goldsky
0xfa1b2c8cca4da9e6837e8a8cd53e3e6a258ce2db3d21d4ea835c65d125679e49,onchain_unknown,0.017,0,1,goldsky
0xe85db2c1843ebf5eac87613544d8a7e062039ec023d60fcaab2c9bf6340de110,onchain_unknown,0.52,1,7,goldsky
0xf9236e6e63c4fbf31146d8e1137cd987779bd3cbf09fcdc61bcda3c314798053,onchain_unknown,0.5,0,43,goldsky
0x448fc26bf9c8fb05a0cc677f353497c114162cd64acb4556b2cc8e9166672987,onchain_unknown,0.5,0,1,goldsky
0x26baf6b25267437104fc84c01a1356eee49e447c1ab1c6e20860554d5c116ffe,onchain_unknown,0.64,0,10,goldsky
0x24f1a8ca78151bfddcc1fc46d6b1a406fa7727f7b546dc78c58b32f928ebb8bf,onchain_unknown,0.001,0,2,goldsky
0x2d55f622bc12e23dc1f1bb4db8360c28c92155f9376bf73953c0756ee1387b2f,onchain_unknown,0.999,1,63,goldsky
0x1949eb2118cc5210b38a6d97f32b0f1b27e63adfcf989805392bcb422b79ff56,onchain_unknown,0.21,0,5,goldsky
0x383bba3fad1e825ea658c04fd8775f253c15b81bfb94209e0adb1fb312b291aa,onchain_unknown,0.52,1,11,goldsky
0xd0eab1b2dbf4dade6a8e8000a4977f4abca3f3b05fb0f3c0f34f17d4eeb6399e,onchain_unknown,0.85,0,2,goldsky
0x1ca4da5850934b7f758958a182a07902a9468632f1509bccfb7bc69bc6e70ad2,onchain_unknown,0.03,0,11,goldsky
0xb184c4ceaeb9765286d2d8b401c2d52d128fe3aa8e81b35ab35e776c00e9415c,onchain_unknown,0.53,0,2,goldsky
0x022a1fa3f502b806de76ea5ed37ee6c9153d852b3ba4d63e8e654aa7999c4403,onchain_unknown,0.39,0,1,goldsky
0x83fdc7436e87b03b4209760cf3a2d5dc618d00d35e7617163c873214feb2eec8,onchain_unknown,0.38,1,6,goldsky
