condition_id,category,prob,final_outcome
polymarket_0x760d7e01944d0b9358f123662bd60dc34e5b644e2d8242379bcfa379a9adec03,sports,0.5,1
polymarket_0x7e15abb42f111f2d6d62be03ea4d6095a9735cc164c30c1a48e299e921c32eaa,other,0.052,0
polymarket_0xa0fb518ed885bfbc20fb50e4fb12626cc55698c233897757b7bdf2d784e24078,other,0.041,0
polymarket_0x1140020fe72001727a38245a836b6242177929c1d979685c9fce0a9bf3af0fc1,other,0.0045,0
polymarket_0xfe82aa3d91da32c7efd9d940103bf675260db1128e9e2de774184a11d3f6df1a,other,0.69,1
polymarket_0x8cd3af19aee7aaae6d2c5b659614f41bccd92241ebf697f067314b2a23e8a8b3,other,0.002,0
polymarket_0x6c11c0f81671a613cbf6e1467e7ea408b2f516bff37186c0c7375fe738915184,sports,0.115,0
polymarket_0x06427afcf13b37a02822915b36a5d601a7122faaf3dea30ee2ce4d5addb6f5af,sports,0.005,0
polymarket_0x178ff9c65afc1bbc0fc32e491798b04144e714596729b2774141d09af510b6be,sports,0.5,0
polymarket_0xe23556ae66d95540ff7e312cd5992ef27ed7a134f472e02d7d4053f976c75145,other,0.029,0
polymarket_0x99c7cba565fb445527a33c4e2c42bde8c7ec442461a68efbfd3f81f61c4a0e59,other,0.0175,0
polymarket_0x1bb35c8000b27b4d25a80b8a7de7e6c72c5b2e8a2fa49e6310ebf0b9ed879a8f,sports,0.505,1
polymarket_0x9b81d62f81190b3dde5dc0f54caa686a014be2b5dd977b1867caceb0886cf731,other,0.26,0
polymarket_0xcc00d2cfef042bea8eacd935c4e4799ca63d4173738846804f1fb97e8794fc03,other,0.37,1
polymarket_0xd5fbf3fda9aa722665aa31bd479e746a15fe28ed185e6ecf04def24918727b63,other,0.595,1
polymarket_0x14fb00cad1cf4b231813cc2b97e2497a7a1e4ed48157d4c317a7b95bc777d46b,sports,0.5,0
polymarket_0x889bac40f14dcdb14c8a9eebc7de952f2c290ed8aa32279177345ae20d8015ae,sports,0.5,0
polymarket_0x9fff6bc58a6c498d30f7c9a206ff73c9332eb9fb851deb2e9a6f71944ba75e67,sports,0.815,1
polymarket_0x8517b6cf8f567218adc0d311b0286e5265f5d00de2091b9dc6b33faf79766caa,sports,0.525,1
polymarket_0xde0c35c6f5ef57187778ea522fb18f657edaa96eeab95b9ea96a43fa0dc360ee,sports,0.505,1
polymarket_0x10a30513c316a8841140fef6d96604f3876201dba7b6f26429d87d7c9004d9c3,sports,0.745,1
polymarket_0x34b0536dcb057c506f71974160805b86e2a5bd332a83defd6c4db7b0d1448641,sports,0.44,0
polymarket_0x82dad6ca2c42e1219529dac4a936b4b9b419e6ed1ed718b4ffb21cc8c582efa2,sports,0.315,1
polymarket_0xbbb9eeae16451825a6ac6f5ba57b968546e8494ba6b9d6044d2d5b8e8b1d8b4d,sports,0.5,0
polymarket_0xe4ef6372951010fb66044f59b0d62efa38ddc68c9de7a5533648e299c1ffcfb7,other,0.155,1
polymarket_0x94c09056fadcfd8eec045a41c61d564bad3a6553944a8d6d8aaee3726885a925,other,0.0005,0
polymarket_0x32ac568796a91f9439f8161605c81f3377ba0c648d3b91b9077e65c432d12cbb,other,0.0055,0
polymarket_0x6793300fddbb89c73cb40da39d11e8c0401a382fc0489a263d671b73338146d9,other,0.004,0
polymarket_0x5cec2123503b4100ced7f5c120a5f30166d56eb211f558017a90640e21832985,other,0.39,0
polymarket_0x1db2cf88f9418d887f05f5d4b723f160070012ee2e8d9a5b56f135ff6db1ff09,other,0.07,0
polymarket_0x700febb2215d4d9d5b60e872e66d9b97fd05d0ad5b62d4f0ef172d26a086e510,sports,0.0045,0
polymarket_0x3b50032646e20987a7fd310cfc82095aef7b50b9a7165d31cfbfc61217e0e670,other,0.805,1
polymarket_0xf93164bbc543c7e63b0db85cb195671223bec4db0f9a28924d2f34226674795d,sports,0.585,1
polymarket_0x825b3126a1e2ac4bee3873af81a54ae6625d80dc830422df338ec651e6777672,other,0.49,0
polymarket_0xff5f1f872f1b2f9ddaff49fd5fd4b7b273ad1d0cc29604842e0712feb537a98c,sports,0.5,1
polymarket_0xacff2f7229dc49013bd29191fd9bea2c8960263d3ff96a7fdee809837a6fcac4,sports,0.501,0
polymarket_0xeaaff18ea11338f81d1472ab3a3c8b14050c96d228db3d92b1af67df1da2d937,other,0.043,0
polymarket_0x2a372d0440bb3805146a3fc67c0be518c0c4ac0cf0158d7f5ff6d88b79ec8fd1,sports,0.5,0
polymarket_0xbe195c653cf586c22b39ca0840452599d851ed3542524d833a620cf1eb31f8d6,other,0.0245,0
polymarket_0xde138d58de20e73b2a0d91f7a0bc39aa2f7a449772e2dfd9db2031f9f917886a,other,0.725,1
polymarket_0x193cf0f85dc9d5cf1141f446f4e86fc1a7154f29303aed59980e974c50019994,sports,0.495,0
polymarket_0xb409cc4007f412e1bf012dfcefee11faeaa1454b0f412f5f4eb08289caf6f83b,other,0.002,0
polymarket_0xf94e86c3c37d1e3a6b4dba892dbf8cb70d64c86dd4c0993f1780778a677da2d4,sports,0.53,1
polymarket_0x78253df320997df70e2b13b5dbabdd01690dc8443cb4c4e54874ea00f6eb7576,sports,0.37,0
polymarket_0x55d7e2f3c8c5dc8735bded19a0ff00f7664048124a28bf158d54c4b3e0f535ad,sports,0.185,1
polymarket_0x5f95abb08f0d21b643885b64b68a14cfdb2948ea4d822b76b5031960a244aaaa,other,0.66,0
polymarket_0xcf6eec7db9ac38d097e98eae4f06f11b3334e6a6394beae0c5032f6b691f0703,sports,0.24,0
polymarket_0x13a1432bfadbd291220a489f439fbde7c9081bfa6e6151c336e79d2cbfc9a828,other,0.0025,0
polymarket_0x7b79751da7edd6a199d60d707f873573de54f43bd19d394cd7e9212f7f2b50ff,other,0.615,0
polymarket_0x6f673bd479cb6c1a334bcc2eb95888df337d10623b826ddeed6224a1b4d29567,sports,0.5,0
polymarket_0x69cc878c0b268caa8693d0ed454e5dfe5494bf913e735f737efafb94ec1f5875,other,0.007,0
polymarket_0x3fccef8a2800d03c59e2ef175632f757efc31795fb61dfbaf8368b810f89cf7d,other,0.315,0
polymarket_0x9fb4372631b796d6a4ed163dfb61ea36d1de81afb1276e2ff2c3bef3d42b978b,sports,0.5,0
polymarket_0xd7724e5fc0323f754bb6e5ff5877011086b88ec1519c225ca17b719c555e9271,sports,0.5,1
polymarket_0xdeb36b80d09d490378f62e3601d6f148f1d7c0637a60a86746946c5a8f106456,other,0.345,1
polymarket_0xe91b10ba43be9455bf89706be5a7401fb36a858b2f327a159749f79717661857,other,0.86,1
polymarket_0x9ce62fcbf78710e9ec3f450c8b8a0efcda5747c00f60537bdfe5eb2d3950ac36,sports,0.0005,0
polymarket_0x71f0bb2ef6de253916838628222881de2b4884eb8d09d94207b704038d371963,sports,0.19,0
polymarket_0x9a72428553dcacf5bdfc1d790140c6995bb022d28b8cc32df92bfbbdb2163734,other,0.035,0
polymarket_0x5c41f5eb4c832ef8478eeeabd002ca8eb08c69c8290b8024ecb04a04b6ff016e,crypto,0.0265,0
polymarket_0xc9ea8049de0879061b3605fb1785f0d9bddf11d9846322693b9e619e4f969efb,sports,0.5,0
polymarket_0xc11d87ba5f577a15bb843afd9b98744a9803de1505a286d918ec050153e448d2,sports,0.5,0
polymarket_0xc68dfdea4517f6f7f211de73b6b9ca6593d518e371ef1b142da775c762c2a14f,other,0.0005,0
polymarket_0xe51245d2716359eda92c7138fbe92d6085e9bfae79260190772bdc09da4aefcf,other,0.205,1
polymarket_0x381e611e08e47c28d3febfdcfa3e86ffd542768964d6341ea52c6b19008165d5,other,0.305,1
polymarket_0x4bffdcf8ee79c5f89ec6677241a61ce76eb26c8d1b3f20053009e79a86b443be,sports,0.155,0
polymarket_0x7196db3e6b34d46c47781f76cf20cc3da6f7e562f654103ea25bb7f89fc49c60,other,0.74,1
polymarket_0x79df5681cae206a95fd5bc54916ae3c2db1ec72809a832666bf3df72a50673ed,sports,0.0005,0
polymarket_0xb2e735a5127d2e95f7f851690277c335ad9532ce6b24c496773e6e34bc36b716,other,0.75,1
polymarket_0x4f4165b1295cc60eb23a9698a4ef82bf2bf4d2dd8f2771c62b5bcced974f427c,sports,0.43,0
polymarket_0xa36eaa733e8e04a0ae342694f78842ea68c663acd058401c2c62504bebecc7dd,sports,0.24,1
